donor_code,donor_name,year,recipient_iso3_code,sector_code,usd_disbursement_crs,usd_disbursement_iati,recipient_name
1,Austria,2017,CMR,111,0.002818,0,Cameroon
1,Austria,2017,CMR,114,0.245538,0,Cameroon
1,Austria,2017,CMR,122,0.005636,0,Cameroon
1,Austria,2017,CMR,140,1.580525,0,Cameroon
1,Austria,2017,CMR,998,0.262854,0,Cameroon
1,Austria,2017,COD,111,0.005636,0,Congo - Kinshasa
1,Austria,2017,COD,114,0.111768,0,Congo - Kinshasa
1,Austria,2017,COD,121,0.011273,0,Congo - Kinshasa
1,Austria,2017,COD,122,0.016909,0,Congo - Kinshasa
1,Austria,2017,COD,140,0.009018,0,Congo - Kinshasa
1,Austria,2017,COD,151,0.009356,0,Congo - Kinshasa
1,Austria,2017,COD,311,0.016909,0,Congo - Kinshasa
1,Austria,2017,COD,410,0.104275,0,Congo - Kinshasa
1,Austria,2017,HND,113,0.592087,0,Honduras
1,Austria,2017,HND,114,0.049947,0,Honduras
1,Austria,2017,HND,998,0.256457,0,Honduras
1,Austria,2017,HTI,112,0.039454,0,Haiti
1,Austria,2017,HTI,312,0.001759,0,Haiti
1,Austria,2017,MLI,114,0.020619,0,Mali
1,Austria,2017,MLI,121,0.002255,0,Mali
1,Austria,2017,MLI,152,0.822906,0,Mali
1,Austria,2017,MLI,160,0.000225,0,Mali
1,Austria,2017,MLI,311,0.037108,0,Mali
1,Austria,2017,MMR,111,0.059745,0,Myanmar (Burma)
1,Austria,2017,MMR,114,0.033451,0,Myanmar (Burma)
1,Austria,2017,MMR,122,0.002818,0,Myanmar (Burma)
1,Austria,2017,MMR,160,0.036975,0,Myanmar (Burma)
1,Austria,2017,MMR,240,0.169161,0,Myanmar (Burma)
1,Austria,2017,MMR,311,0.016909,0,Myanmar (Burma)
1,Austria,2017,SDN,114,0.254484,0,Sudan
1,Austria,2017,SDN,152,0.101454,0,Sudan
1,Austria,2017,SDN,730,0.006764,0,Sudan
1,Austria,2017,TCD,311,0.016571,0,Chad
1,Austria,2018,CMR,111,0.00118,0,Cameroon
1,Austria,2018,CMR,114,0.260373,0,Cameroon
1,Austria,2018,CMR,160,0.009442,0,Cameroon
1,Austria,2018,CMR,321,0.022697,0,Cameroon
1,Austria,2018,CMR,998,0.233742,0,Cameroon
1,Austria,2018,COD,111,0.064912,0,Congo - Kinshasa
1,Austria,2018,COD,112,0.035407,0,Congo - Kinshasa
1,Austria,2018,COD,114,0.103376,0,Congo - Kinshasa
1,Austria,2018,COD,140,0.00236,0,Congo - Kinshasa
1,Austria,2018,COD,160,0.017703,0,Congo - Kinshasa
1,Austria,2018,COD,311,0.035406,0,Congo - Kinshasa
1,Austria,2018,COD,720,0.118022,0,Congo - Kinshasa
1,Austria,2018,HND,114,0.081214,0,Honduras
1,Austria,2018,HND,998,1.215051,0,Honduras
1,Austria,2018,HTI,113,0.041308,0,Haiti
1,Austria,2018,MLI,114,0.021935,0,Mali
1,Austria,2018,MLI,121,0.00236,0,Mali
1,Austria,2018,MLI,152,0.035407,0,Mali
